Category,Medicine,Adults,Children,Notes
Cardiovascular,Atorvastatin (Lipitor),1,0,-
Cardiovascular,Metoprolol (Lopressor),1,0,-
Cardiovascular,Lisinopril (Prinivil),1,1,For hypertension in children ≥6
Cardiovascular,Aspirin,1,0,Avoid in children due to Reye's syndrome
Cardiovascular,Propranolol,0,1,For pediatric arrhythmias
Dermatological,Hydrocortisone cream,1,1,-
Dermatological,Clotrimazole,1,1,Antifungal
Dermatological,Adapalene,1,1,Acne treatment (≥12 years)
Dermatological,Calamine lotion,1,1,For rashes
ear nose and throat,Fluticasone nasal spray,1,1,≥4 years
ear nose and throat,Amoxicillin,1,1,For infections
ear nose and throat,Loratadine,1,1,Antihistamine (≥2 years)
ear nose and throat,Ciprofloxacin ear drops,1,1,For otitis (≥1 year)
Endocrine,Metformin,1,1,For diabetes (≥10 years)
Endocrine,Levothyroxine,1,1,Thyroid hormone
Endocrine,Insulin,1,1,Various types
Endocrine,Growth hormone,0,1,For pediatric deficiency
Gastrointestinal,Omeprazole,1,1,PPI for acid reflux (≥1 year)
Gastrointestinal,Loperamide,1,0,Not for young children
Gastrointestinal,Simethicone,1,1,Gas relief
Gastrointestinal,Polyethylene glycol,1,1,Laxative (≥6 months)
Genetic,Enzyme replacement therapies,1,1,"e.g., for Gaucher's"
Genetic,Nusinersen,1,1,For spinal muscular atrophy
Genetic,Ivacaftor,1,1,For cystic fibrosis (≥6 months)
Hematological,Ferrous sulfate,1,1,Iron supplement
Hematological,Warfarin,1,1,Blood thinner (specific conditions)
Hematological,Epoetin alfa,1,1,For anemia
Hematological,Desmopressin,1,1,For hemophilia
Hepatic,Ursodiol,1,1,For gallstones
Hepatic,Lactulose,1,1,For hepatic encephalopathy
Hepatic,Rifaximin,1,1,≥12 years
Immunological,Prednisone,1,1,Steroid
Immunological,Methotrexate,1,1,For juvenile arthritis
Immunological,Dupilumab,1,1,For eczema (≥6 months)
Infectious,Amoxicillin-clavulanate,1,1,-
Infectious,Oseltamivir,1,1,≥2 weeks
Infectious,Fluconazole,1,1,For candidiasis
Infectious,Azithromycin,1,1,For pediatric infections
Metabolic,Allopurinol,1,1,For gout (specific conditions)
Metabolic,Sevelamer,1,1,For hyperphosphatemia (≥6 years)
Metabolic,Simvastatin,1,1,For familial hypercholesterolemia
Musculoskeletal,Ibuprofen,1,1,≥6 months
Musculoskeletal,Acetaminophen,1,1,-
Musculoskeletal,Methocarbamol,1,0,Muscle relaxant (not for children)
Neurological,Donepezil,1,0,For dementia
Neurological,Levodopa,1,0,For Parkinson's
Neurological,Topiramate,1,1,For migraines (≥12 years)
Oncological,Pembrolizumab,1,1,For certain pediatric cancers
Oncological,Tamoxifen,1,0,For breast cancer
Oncological,Imatinib,1,1,For leukemia
Ophthalmological,Timolol,1,1,Glaucoma eye drops (≥2 years)
Ophthalmological,Artificial tears,1,1,-
Ophthalmological,Tobramycin,1,1,Antibiotic eye drops
Oral,Fluconazole,1,1,For oral thrush
Oral,Chlorhexidine mouthwash,1,1,≥6 years
Oral,Benzocaine,1,1,Oral pain relief (≥2 years)
Reproductive,Clomiphene,1,0,Fertility drug
Reproductive,Medroxyprogesterone,1,0,Birth control
Reproductive,Sildenafil,1,0,For erectile dysfunction
Respiratory,Albuterol,1,1,Asthma inhaler (≥4 years)
Respiratory,Fluticasone-salmeterol,1,1,≥4 years
Respiratory,Dextromethorphan,1,1,Cough suppressant (≥4 years)
Toxicology,Activated charcoal,1,1,-
Toxicology,N-acetylcysteine,1,1,For acetaminophen overdose
Toxicology,Atropine,1,1,For organophosphate poisoning
Urinary,Trimethoprim-sulfamethoxazole,1,1,For UTIs
Urinary,Oxybutynin,1,1,For overactive bladder (≥5 years)
Urinary,Tamsulosin,1,0,For BPH
Mental Health,Sertraline,1,1,≥6 years for OCD
Mental Health,Escitalopram,1,1,≥12 years
Mental Health,Quetiapine,1,1,≥10 years for bipolar
Surgical,Cefazolin,1,1,Pre-surgical antibiotic
Surgical,Acetaminophen-codeine,1,0,Avoid in children
Surgical,Enoxaparin,1,1,Blood clot prevention
Lymphatic,Compression therapy,1,1,-
Lymphatic,Furosemide,1,1,Diuretic
Lymphatic,Rutosides,1,0,For lymphedema
Pediatric,Amoxicillin suspension,0,1,-
Pediatric,Acetaminophen,0,1,Children's Tylenol
Pediatric,Saline nasal drops,0,1,-
Pediatric,Paracetamol suppositories,0,1,For infants
