"Category","Description"
"Cardiovascular","This category covers all things related to your heart and the network of blood vessels (arteries and veins) throughout your body. Think of it as the body's plumbing and pumping system. It includes common issues like high blood pressure, heart attacks, clogged arteries, heart failure, strokes, and problems with heart rhythms. Keeping this system healthy is crucial for delivering oxygen and nutrients to every part of you."
"Dermatological","This is the specialty of your skin, hair, and nails—your body's outer layer and first line of defense. It deals with everything from temporary rashes, acne, and infections to chronic conditions like eczema and psoriasis, as well as more serious issues like skin cancer. If it affects your complexion, causes itching, or changes a mole, it falls under dermatology."
"ear nose and throat","Often called ENT, this category focuses on the interconnected systems of your head and neck that you use to hear, smell, taste, breathe, and swallow. It includes ear infections, hearing loss, sinus troubles, allergies, sore throats, tonsillitis, voice box problems, and even issues with balance. It's all about the health of your senses and airways in that region."
"Endocrine","This deals with your body's hormone system. Hormones are chemical messengers produced by glands (like the thyroid, pancreas, and adrenal glands) that control your metabolism, energy levels, growth, mood, and reproduction. Common disorders include diabetes (problems with insulin), thyroid issues (which can make you feel sluggish or wired), and growth disorders."
"Gastrointestinal","This covers your entire digestive tract, from your mouth to your stomach, intestines, liver, gallbladder, and pancreas. It's about how your body processes food, absorbs nutrients, and gets rid of waste. Issues can range from common heartburn and stomach ulcers to irritable bowel syndrome (IBS), Crohn's disease, food intolerances, and liver disease."
"Genetic","These are health conditions caused by changes or mutations in your genes, the blueprint you inherited from your parents. Some are present from birth (like Down syndrome or cystic fibrosis), while others might increase your risk of developing certain diseases later in life (like some inherited cancers). They are not contagious but can be passed down in families."
"Hematological","This is all about blood. It includes disorders that affect your red blood cells (like anemia, which causes fatigue), white blood cells (which fight infection), platelets (which help with clotting), and the plasma part of blood. Conditions include various types of anemia, clotting disorders like hemophilia, and blood cancers like leukemia."
"Hepatic","This category is specifically focused on the liver, one of your body's hardest-working organs. The liver filters toxins from your blood, helps digest food, stores energy, and makes proteins. Diseases here include hepatitis (liver inflammation), fatty liver disease, cirrhosis (scarring), and liver failure, often caused by viruses, alcohol, or obesity."
"Immunological","This involves your immune system, your body's defense army against germs. Problems occur when this army malfunctions. It includes allergies (overreactions to harmless things like pollen), autoimmune diseases (where the body mistakenly attacks itself, like in rheumatoid arthritis or lupus), and immunodeficiency disorders (where the immune system is too weak)."
"Infectious","These are illnesses you can ""catch"" because they are caused by invading germs like bacteria, viruses, fungi, or parasites. They can be spread from person to person, through insect bites, or via contaminated food or water. Examples range from the common cold, flu, and COVID-19 to more serious diseases like malaria, tuberculosis, and HIV/AIDS."
"Metabolic","Metabolism is the process your body uses to convert food into energy. Metabolic disorders disrupt this process, meaning your body might not produce enough energy or might produce too much of certain substances. The most well-known example is diabetes, but it also includes conditions like gout, metabolic syndrome, and disorders that affect how your body processes fats and proteins."
"Musculoskeletal","This covers the framework that holds you up and lets you move: your bones, muscles, joints, ligaments, and tendons. It includes everyday aches and pains like back strain, arthritis (joint inflammation), osteoporosis (weak bones), injuries like fractures and sprains, and diseases that affect muscle strength."
