"Category","Exercise","Calories Burned (per 30 min)","Intensity","Key Benefits"
"Cardiovascular","Brisk Walking","120-180","Moderate","Improves heart health, endurance, lowers blood pressure and LDL cholesterol"
"Cardiovascular","Cycling","200-300","Moderate-High","Strengthens legs, boosts cardiovascular fitness, improves overall stamina"
"Cardiovascular","Swimming","180-266","Moderate","Full-body workout, low-impact on joints, improves lung capacity"
"Cardiovascular","Jump Rope","300-400","High","Cardio endurance, coordination, bone density improvement"
"Cardiovascular","Running","240-355","High","Boosts stamina, burns calories, releases endorphins for mood"
"Cardiovascular","Stair Climbing","180-250","High","Builds lower body strength, intense calorie burn, improves heart efficiency"
"Cardiovascular","Rowing","210-300","Moderate-High","Excellent full-body cardiovascular workout, strengthens back and arms"
"Cardiovascular","Elliptical Training","220-320","Moderate-High","Low-impact cardio that mimics running, good for knee health"
"Dermatological","Yoga (reduces stress-related skin issues)","90-120","Low-Moderate","Stress reduction, improves circulation for glowing skin"
"Dermatological","Swimming (chlorine-free for hydration)","180-266","Moderate","Hydrates skin, full-body movement, reduces inflammation"
"Dermatological","Pilates (improves circulation)","90-150","Low-Moderate","Core strength, circulation, promotes nutrient delivery to skin"
"Dermatological","Brisk Walking","120-180","Moderate","Increases blood flow, helps flush out toxins through sweat, reduces acne"
"Dermatological","Rebounding (on a mini-trampoline)","150-200","Moderate","Boosts lymphatic drainage, which can help reduce skin congestion and puffiness"
"ear nose and throat","Neck Stretches","30-50","Low","Relieves tension, improves mobility, can reduce sinus pressure headaches"
"ear nose and throat","Deep Breathing Exercises","20-40","Low","Sinus relief, oxygenates blood, can help clear Eustachian tubes"
"ear nose and throat","Jaw Exercises (for TMJ relief)","30-60","Low","Reduces jaw pain, improves alignment, decreases ear ringing (tinnitus)"
"ear nose and throat","Humming (Sinus Vibration)","10-20","Low","Increases nitric oxide production, which helps fight sinus infections and improve airflow"
"ear nose and throat","Steam Inhalation with Breathing","30-60","Low","Loosens mucus in sinuses and throat, soothes irritated airways"
"Endocrine","High-Intensity Interval Training (HIIT)","300-450","High","Boosts metabolism, improves insulin sensitivity, promotes human growth hormone release"
"Endocrine","Strength Training","180-250","Moderate-High","Muscle growth, hormone balance (testosterone, growth hormone), improves glucose uptake"
"Endocrine","Cycling","200-300","Moderate-High","Improves glucose metabolism, helps manage weight which is crucial for endocrine health"
"Endocrine","Circuit Training","250-350","High","Keeps heart rate elevated while building muscle, excellent for metabolic hormone regulation"
"Endocrine","Power Walking on an Incline","180-220","Moderate","Effectively manages blood sugar levels, improves insulin response without high joint impact"
"Gastrointestinal","Core Strengthening (e.g., planks)","100-150","Moderate","Aids digestion, strengthens abdomen, can help reduce symptoms of bloating"
"Gastrointestinal","Light Jogging","180-240","Moderate","Stimulates bowel movement, reduces transit time, helps relieve constipation"
"Gastrointestinal","Yoga (twists aid digestion)","90-120","Low-Moderate","Relieves bloating, improves gut health, massages internal organs"
"Gastrointestinal","Abdominal Massage with Movement","50-80","Low","Directly stimulates the colon, can relieve gas and promote regularity"
"Gastrointestinal","Low-Impact Aerobics","150-200","Moderate","Gentle bouncing motion can stimulate digestive tract and improve overall gut motility"
"Genetic","Low-Impact Aerobics","150-200","Moderate","Gentle on joints, improves mobility and cardiovascular health for those with genetic limitations"
"Genetic","Resistance Training","180-250","Moderate-High","Maintains muscle mass, bone density, crucial for managing genetic conditions like muscular dystrophy"
