Category,Food
Cardiovascular,Oats
Cardiovascular,Salmon
Cardiovascular,Berries
Cardiovascular,Dark chocolate
Cardiovascular,Leafy greens
Dermatological,Carrots
Dermatological,Sweet potatoes
Dermatological,Tomatoes
Dermatological,Nuts
Dermatological,Avocados
ear nose and throat,Garlic
ear nose and throat,Ginger
ear nose and throat,Honey
ear nose and throat,Citrus fruits
ear nose and throat,Warm broths
Endocrine,Whole grains
Endocrine,Fatty fish
Endocrine,Eggs
Endocrine,Spinach
Endocrine,Pumpkin seeds
Gastrointestinal,Yogurt
Gastrointestinal,Bananas
Gastrointestinal,Ginger
Gastrointestinal,Oats
Gastrointestinal,Apples
Genetic,Broccoli
Genetic,Spinach
Genetic,Lentils
Genetic,Whole grains
Genetic,Nuts
Hematological,Red meat
Hematological,Spinach
Hematological,Beans
Hematological,Beets
Hematological,Citrus fruits
Hepatic,Coffee
Hepatic,Green tea
Hepatic,Oats
Hepatic,Grapefruit
Hepatic,Avocados
Immunological,Garlic
Immunological,Citrus fruits
Immunological,Turmeric
Immunological,Ginger
Immunological,Almonds
Infectious,Yogurt
Infectious,Garlic
Infectious,Green tea
Infectious,Broccoli
Infectious,Sweet potatoes
Metabolic,Whole grains
Metabolic,Legumes
Metabolic,Nuts
Metabolic,Leafy greens
Metabolic,Avocados
Musculoskeletal,Milk
Musculoskeletal,Cheese
Musculoskeletal,Yogurt
Musculoskeletal,Salmon
Musculoskeletal,Spinach
Neurological,Blueberries
Neurological,Fatty fish
Neurological,Turmeric
Neurological,Nuts
Neurological,Dark chocolate
Oncological,Broccoli
Oncological,Garlic
Oncological,Green tea
Oncological,Berries
Oncological,Carrots
Ophthalmological,Carrots
Ophthalmological,Spinach
Ophthalmological,Sweet potatoes
Ophthalmological,Eggs
Ophthalmological,Fish
Oral,Cheese
Oral,Apples
Oral,Leafy greens
Oral,Green tea
Oral,Water
Pediatric,Milk
Pediatric,Eggs
Pediatric,Bananas
Pediatric,Carrots
Pediatric,Oats
Reproductive,Leafy greens
Reproductive,Nuts
Reproductive,Berries
Reproductive,Avocados
Reproductive,Salmon
Respiratory,Honey
Respiratory,Ginger
Respiratory,Turmeric
Respiratory,Citrus fruits
Respiratory,Apples
Toxicology,Activated charcoal (in emergencies)
Toxicology,Water
Toxicology,Green tea
Toxicology,Coriander
Toxicology,Cilantro
Urinary,Cranberries
Urinary,Water
Urinary,Yogurt
Urinary,Blueberries
Urinary,Cucumber
Mental Health,Bananas
Mental Health,Salmon
Mental Health,Berries
Mental Health,Dark chocolate
Mental Health,Green tea
Surgical,Eggs
Surgical,Lean meat
Surgical,Sweet potatoes
Surgical,Yogurt
Surgical,Leafy greens
Lymphatic,Garlic
Lymphatic,Citrus fruits
Lymphatic,Green tea
Lymphatic,Leafy greens
Lymphatic,Berries
