Disease,Category
panic disorder,Mental Health
vocal cord polyp,ear nose and throat
turner syndrome,Genetic
cryptorchidism,Reproductive
poisoning due to ethylene glycol,Toxicology
atrophic vaginitis,Reproductive
fracture of the hand,Musculoskeletal
cellulitis or abscess of mouth,Infectious
eye alignment disorder,Ophthalmological
headache after lumbar puncture,Neurological
pyloric stenosis,Gastrointestinal
salivary gland disorder,ear nose and throat
osteochondrosis,Musculoskeletal
injury to the knee,Musculoskeletal
metabolic disorder,Metabolic
vaginitis,Reproductive
sick sinus syndrome,Cardiovascular
tinnitus of unknown cause,ear nose and throat
glaucoma,Ophthalmological
eating disorder,Mental Health
transient ischemic attack,Neurological
pyelonephritis,Urinary
rotator cuff injury,Musculoskeletal
chronic pain disorder,Neurological
problem during pregnancy,Reproductive
liver cancer,Oncological
atelectasis,Respiratory
injury to the hand,Musculoskeletal
choledocholithiasis,Gastrointestinal
injury to the hip,Musculoskeletal
cirrhosis,Hepatic
thoracic aortic aneurysm,Cardiovascular
subdural hemorrhage,Neurological
diabetic retinopathy,Endocrine
fibromyalgia,Musculoskeletal
ischemia of the bowel,Gastrointestinal
fetal alcohol syndrome,Genetic
peritonitis,Gastrointestinal
injury to the abdomen,Musculoskeletal
acute pancreatitis,Gastrointestinal
thrombophlebitis,Cardiovascular
asthma,Respiratory
foreign body in the vagina,Reproductive
restless leg syndrome,Neurological
emphysema,Respiratory
cysticercosis,Infectious
induced abortion,Reproductive
teething syndrome,Pediatric
infectious gastroenteritis,Infectious
acute sinusitis,ear nose and throat
substance-related mental disorder,Mental Health
postpartum depression,Mental Health
coronary atherosclerosis,Cardiovascular
spondylitis,Musculoskeletal
pituitary adenoma,Endocrine
uterine fibroids,Reproductive
idiopathic nonmenstrual bleeding,Reproductive
chalazion,Ophthalmological
ovarian torsion,Reproductive
retinopathy due to high blood pressure,Ophthalmological
vaginal yeast infection,Reproductive
mastoiditis,ear nose and throat
lung contusion,Respiratory
hypertrophic obstructive cardiomyopathy (hocm),Cardiovascular
ingrown toe nail,Dermatological
pulmonary eosinophilia,Respiratory
corneal disorder,Ophthalmological
foreign body in the gastrointestinal tract,Gastrointestinal
endophthalmitis,Ophthalmological
intestinal malabsorption,Gastrointestinal
viral warts,Dermatological
hyperhidrosis,Dermatological
stroke,Neurological
pilonidal cyst,Dermatological
crushing injury,Musculoskeletal
normal pressure hydrocephalus,Neurological
alopecia,Dermatological
hashimoto thyroiditis,Endocrine
flat feet,Musculoskeletal
nonalcoholic liver disease (nash),Hepatic
hemarthrosis,Musculoskeletal
pelvic organ prolapse,Reproductive
fracture of the arm,Musculoskeletal
coagulation (bleeding) disorder,Hematological
intracranial hemorrhage,Neurological
hyperkalemia,Metabolic
cornea infection,Ophthalmological
abscess of the lung,Respiratory
dengue fever,Infectious
chronic sinusitis,ear nose and throat
cholesteatoma,ear nose and throat
volvulus,Gastrointestinal
injury to the finger,Musculoskeletal
poisoning due to analgesics,Toxicology
atrial fibrillation,Cardiovascular
pinworm infection,Infectious
urethral valves,Urinary
open wound of the neck,Musculoskeletal
achalasia,Gastrointestinal
conductive hearing loss,ear nose and throat
abdominal hernia,Gastrointestinal
cerebral palsy,Neurological
marijuana abuse,Mental Health
cryptococcosis,Infectious
obesity,Metabolic
indigestion,Gastrointestinal
bursitis,Musculoskeletal
esophageal cancer,Oncological
pulmonary congestion,Respiratory
juvenile rheumatoid arthritis,Musculoskeletal
actinic keratosis,Dermatological
acute otitis media,ear nose and throat
astigmatism,Ophthalmological
tuberous sclerosis,Genetic
empyema,Respiratory
presbyacusis,ear nose and throat
neonatal jaundice,Pediatric
chronic obstructive pulmonary disease (copd),Respiratory
dislocation of the elbow,Musculoskeletal
spondylosis,Musculoskeletal
herpangina,Infectious
injury to the shoulder,Musculoskeletal
poisoning due to antidepressants,Toxicology
infection of open wound,Infectious
deep vein thrombosis (dvt),Cardiovascular
protein deficiency,Metabolic
myoclonus,Neurological
bone spur of the calcaneous,Musculoskeletal
von willebrand disease,Hematological
open wound of the back,Musculoskeletal
heart block,Cardiovascular
colonic polyp,Gastrointestinal
magnesium deficiency,Metabolic
female infertility of unknown cause,Reproductive
pericarditis,Cardiovascular
attention deficit hyperactivity disorder (adhd),Mental Health
pulmonic valve disease,Cardiovascular
tietze syndrome,Musculoskeletal
cranial nerve palsy,Neurological
injury to the arm,Musculoskeletal
conversion disorder,Mental Health
complex regional pain syndrome,Neurological
otosclerosis,ear nose and throat
injury to the trunk,Musculoskeletal
hypothyroidism,Endocrine
primary insomnia,Mental Health
lice,Infectious
vitamin b12 deficiency,Metabolic
diabetes,Endocrine
vulvodynia,Reproductive
endometriosis,Reproductive
vasculitis,Immunological
concussion,Neurological
oral leukoplakia,Oral
chronic kidney disease,Urinary
bladder disorder,Urinary
chorioretinitis,Ophthalmological
priapism,Reproductive
myositis,Musculoskeletal
mononucleosis,Infectious
neuralgia,Neurological
polycystic kidney disease,Urinary
bipolar disorder,Mental Health
amyloidosis,Metabolic
chronic inflammatory demyelinating polyneuropathy (cidp),Neurological
gastroesophageal reflux disease (gerd),Gastrointestinal
vitreous hemorrhage,Ophthalmological
poisoning due to antimicrobial drugs,Toxicology
open wound of the mouth,Oral
scleroderma,Immunological
myasthenia gravis,Neurological
hypoglycemia,Endocrine
idiopathic absence of menstruation,Reproductive
dislocation of the ankle,Musculoskeletal
carbon monoxide poisoning,Toxicology
panic attack,Mental Health
plantar fasciitis,Musculoskeletal
hyperopia,Ophthalmological
poisoning due to sedatives,Toxicology
pemphigus,Dermatological
peyronie disease,Reproductive
hiatal hernia,Gastrointestinal
extrapyramidal effect of drugs,Neurological
meniere disease,ear nose and throat
anal fissure,Gastrointestinal
allergy,Immunological
chronic otitis media,ear nose and throat
fracture of the finger,Musculoskeletal
hirschsprung disease,Gastrointestinal
polymyalgia rheumatica,Musculoskeletal
lymphedema,Lymphatic
bladder cancer,Oncological
acute bronchospasm,Respiratory
acute glaucoma,Ophthalmological
open wound of the chest,Musculoskeletal
dislocation of the patella,Musculoskeletal
sciatica,Neurological
hypercalcemia,Metabolic
stress incontinence,Urinary
varicose veins,Cardiovascular
benign kidney cyst,Urinary
hydrocele of the testicle,Reproductive
degenerative disc disease,Musculoskeletal
hirsutism,Endocrine
dislocation of the foot,Musculoskeletal
hydronephrosis,Urinary
diverticulosis,Gastrointestinal
pain after an operation,Musculoskeletal
huntington disease,Neurological
lymphoma,Oncological
dermatitis due to sun exposure,Dermatological
anemia due to chronic kidney disease,Hematological
injury to internal organ,Musculoskeletal
scleritis,Ophthalmological
pterygium,Ophthalmological
fungal infection of the skin,Dermatological
insulin overdose,Endocrine
syndrome of inappropriate secretion of adh (siadh),Endocrine
foreign body in the ear,ear nose and throat
premenstrual tension syndrome,Reproductive
orbital cellulitis,Ophthalmological
injury to the leg,Musculoskeletal
hepatic encephalopathy,Hepatic
bone cancer,Oncological
syringomyelia,Neurological
pulmonary fibrosis,Respiratory
mitral valve disease,Cardiovascular
parkinson disease,Neurological
gout,Metabolic
otitis media,ear nose and throat
drug abuse (opioids),Mental Health
myelodysplastic syndrome,Hematological
fracture of the shoulder,Musculoskeletal
acute kidney injury,Urinary
threatened pregnancy,Reproductive
intracranial abscess,Neurological
gum disease,Oral
open wound from surgical incision,Musculoskeletal
gastrointestinal hemorrhage,Gastrointestinal
seborrheic dermatitis,Dermatological
drug abuse (methamphetamine),Mental Health
torticollis,Musculoskeletal
poisoning due to antihypertensives,Toxicology
tension headache,Neurological
alcohol intoxication,Toxicology
scurvy,Metabolic
narcolepsy,Neurological
food allergy,Immunological
labyrinthitis,ear nose and throat
anxiety,Mental Health
impulse control disorder,Mental Health
stenosis of the tear duct,Ophthalmological
abscess of nose,ear nose and throat
omphalitis,Infectious
leukemia,Oncological
bell palsy,Neurological
conjunctivitis due to allergy,Ophthalmological
drug reaction,Immunological
adrenal cancer,Oncological
myopia,Ophthalmological
osteoarthritis,Musculoskeletal
thyroid disease,Endocrine
pharyngitis,ear nose and throat
chronic rheumatic fever,Cardiovascular
hypocalcemia,Metabolic
macular degeneration,Ophthalmological
pneumonia,Respiratory
cold sore,Infectious
premature ventricular contractions (pvcs),Cardiovascular
testicular cancer,Oncological
hydrocephalus,Neurological
breast cancer,Oncological
anemia due to malignancy,Hematological
esophageal varices,Gastrointestinal
endometrial cancer,Oncological
cystic fibrosis,Genetic
intertrigo (skin condition),Dermatological
parathyroid adenoma,Endocrine
glucocorticoid deficiency,Endocrine
temporomandibular joint disorder,Oral
wilson disease,Genetic
vesicoureteral reflux,Urinary
vitamin a deficiency,Metabolic
gonorrhea,Infectious
fracture of the rib,Musculoskeletal
ependymoma,Oncological
hepatitis due to a toxin,Hepatic
vaginal cyst,Reproductive
open wound of the shoulder,Musculoskeletal
ectopic pregnancy,Reproductive
chronic knee pain,Musculoskeletal
pinguecula,Ophthalmological
hypergammaglobulinemia,Immunological
